"","Package","LibPath","Version","Priority","Built"
"1","abind","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4-5",NA,"3.4.1"
"2","acepack","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.1",NA,"3.5.2"
"3","actuar","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3-1",NA,"3.4.4"
"4","AER","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-5",NA,"3.4.4"
"5","akima","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6-2",NA,"3.4.4"
"6","ape","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.1",NA,"3.5.1"
"7","arsenal","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.2.0",NA,"3.5.3"
"8","askpass","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1",NA,"3.6.2"
"9","assertthat","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.1",NA,"3.6.2"
"10","AUC","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.4.1"
"11","backports","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.5",NA,"3.6.1"
"12","base","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"13","base64enc","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-3",NA,"3.6.0"
"14","bayesplot","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5.0",NA,"3.4.4"
"15","BB","C:/Users/aubryp/Documents/R/R-3.6.1/library","2014.10-1",NA,"3.4.4"
"16","bbmle","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.20",NA,"3.4.4"
"17","bdsmatrix","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-3",NA,"3.4.3"
"18","betareg","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.1-0",NA,"3.4.4"
"19","BH","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.72.0-2",NA,"3.6.2"
"20","biglm","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-1",NA,"3.4.4"
"21","bindr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.1",NA,"3.4.4"
"22","bindrcpp","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.2",NA,"3.5.1"
"23","binGroup","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1-1",NA,"3.4.4"
"24","bit","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-12",NA,"3.4.1"
"25","bit64","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-7",NA,"3.4.1"
"26","bitops","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-6",NA,"3.5.0"
"27","blob","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.1",NA,"3.4.4"
"28","boot","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-22","recommended","3.6.1"
"29","brew","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-6",NA,"3.5.2"
"30","bridgesampling","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-0",NA,"3.4.4"
"31","brms","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3.0",NA,"3.4.4"
"32","Brobdingnag","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-5",NA,"3.4.4"
"33","broom","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.3",NA,"3.6.2"
"34","btergm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.9.1",NA,"3.4.4"
"35","callr","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.4.0",NA,"3.6.2"
"36","car","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.0-0",NA,"3.4.4"
"37","carData","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.0-1",NA,"3.4.4"
"38","caTools","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.17.1",NA,"3.4.4"
"39","cellranger","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.6.2"
"40","checkmate","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.9.1",NA,"3.5.2"
"41","chron","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3-52",NA,"3.4.4"
"42","class","C:/Users/aubryp/Documents/R/R-3.6.1/library","7.3-15","recommended","3.6.1"
"43","classInt","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3-3",NA,"3.5.3"
"44","cli","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.5.3"
"45","clipr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.7.0",NA,"3.6.2"
"46","clisymbols","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.0",NA,"3.5.3"
"47","cluster","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.0","recommended","3.6.1"
"48","coda","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.19-1",NA,"3.4.4"
"49","codetools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-16","recommended","3.6.1"
"50","colorspace","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4-1",NA,"3.6.1"
"51","colourpicker","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0",NA,"3.4.4"
"52","commonmark","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.7",NA,"3.5.3"
"53","compiler","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"54","covr","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.1.0",NA,"3.4.4"
"55","crayon","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.4",NA,"3.4.4"
"56","crosstalk","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.0",NA,"3.4.4"
"57","curl","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.3",NA,"3.6.2"
"58","cvTools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.2",NA,"3.4.4"
"59","data.table","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.11.4",NA,"3.5.1"
"60","datasets","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"61","DBI","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.6.2"
"62","dbplyr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.2",NA,"3.6.2"
"63","deldir","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-15",NA,"3.4.4"
"64","DEoptimR","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-8",NA,"3.4.1"
"65","desc","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.0",NA,"3.5.3"
"66","deSolve","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.21",NA,"3.5.0"
"67","devtools","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.0",NA,"3.5.3"
"68","dfoptim","C:/Users/aubryp/Documents/R/R-3.6.1/library","2018.2-1",NA,"3.4.4"
"69","dichromat","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0-0",NA,"3.4.1"
"70","digest","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6.23",NA,"3.6.2"
"71","doParallel","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.11",NA,"3.4.4"
"72","dplyr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.3",NA,"3.6.2"
"73","DT","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4",NA,"3.4.4"
"74","dtplyr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.0.2",NA,"3.4.4"
"75","dummy","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.3",NA,"3.5.2"
"76","dygraphs","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.1.4",NA,"3.4.4"
"77","e1071","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.7-2",NA,"3.5.3"
"78","ellipsis","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.6.2"
"79","emdbook","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.9",NA,"3.4.4"
"80","emmeans","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.1",NA,"3.4.4"
"81","EpiContactTrace","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.12.0",NA,"3.5.0"
"82","EpiDynamics","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.5.1"
"83","EpiModel","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6.5",NA,"3.5.1"
"84","ergm","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.9.4",NA,"3.5.1"
"85","ergm.count","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.2.2",NA,"3.4.4"
"86","estimability","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3",NA,"3.4.3"
"87","evaluate","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.14",NA,"3.6.2"
"88","expint","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-4",NA,"3.4.1"
"89","fansi","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.0",NA,"3.6.2"
"90","farver","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0.1",NA,"3.6.2"
"91","fasttime","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-2",NA,"3.4.1"
"92","fit.models","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5-14",NA,"3.4.4"
"93","fitdistrplus","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-9",NA,"3.4.4"
"94","flexmix","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3-14",NA,"3.4.4"
"95","FNN","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1",NA,"3.4.4"
"96","forcats","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.0",NA,"3.6.2"
"97","foreach","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.4",NA,"3.4.4"
"98","foreign","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8-71","recommended","3.6.1"
"99","Formula","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-3",NA,"3.4.4"
"100","fs","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.1",NA,"3.6.2"
"101","gam","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.15",NA,"3.4.4"
"102","gamlss","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.0-8",NA,"3.4.4"
"103","gamlss.data","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.0-1",NA,"3.4.4"
"104","gamlss.dist","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.0-5",NA,"3.4.4"
"105","gamm4","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-5",NA,"3.4.4"
"106","gbm","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.3",NA,"3.4.4"
"107","gdata","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.18.0",NA,"3.4.4"
"108","geepack","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-1",NA,"3.4.1"
"109","generics","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.0.2",NA,"3.6.2"
"110","geosphere","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5-10",NA,"3.5.3"
"111","GERGM","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.13.0",NA,"3.4.4"
"112","GGally","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.0",NA,"3.5.3"
"113","ggmap","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.0.0",NA,"3.5.3"
"114","ggplot2","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.2.1",NA,"3.6.2"
"115","ggridges","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.0",NA,"3.4.4"
"116","gh","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.5.3"
"117","git2r","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.26.1",NA,"3.5.3"
"118","glmnet","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0-16",NA,"3.4.4"
"119","glue","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.1",NA,"3.6.2"
"120","gmm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6-2",NA,"3.4.4"
"121","gmodels","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.18.1",NA,"3.5.3"
"122","gmp","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5-13.1",NA,"3.4.4"
"123","goftest","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-1",NA,"3.4.1"
"124","gower","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.1",NA,"3.5.3"
"125","gplots","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.0.1",NA,"3.4.4"
"126","graphics","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"127","grDevices","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"128","grid","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"129","gridExtra","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3",NA,"3.4.4"
"130","gsubfn","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.7",NA,"3.4.4"
"131","gtable","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.6.2"
"132","gtools","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.8.1",NA,"3.5.2"
"133","haven","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.2.0",NA,"3.6.2"
"134","here","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1",NA,"3.4.4"
"135","highr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8",NA,"3.6.2"
"136","Hmisc","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.2-0",NA,"3.5.2"
"137","hms","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.3",NA,"3.6.1"
"138","HSAUR2","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-17",NA,"3.4.4"
"139","htmlTable","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.12",NA,"3.4.4"
"140","htmltools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.0",NA,"3.6.2"
"141","htmlwidgets","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2",NA,"3.4.4"
"142","httpuv","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5.1",NA,"3.5.3"
"143","httr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.1",NA,"3.6.2"
"144","igraph","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.4.1",NA,"3.5.3"
"145","ini","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.1",NA,"3.5.3"
"146","inline","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.15",NA,"3.4.4"
"147","intergraph","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0-2",NA,"3.5.3"
"148","ipred","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-9",NA,"3.5.3"
"149","ismev","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.41",NA,"3.4.4"
"150","iterators","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.9",NA,"3.4.4"
"151","janitor","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.0",NA,"3.5.3"
"152","jpeg","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-8",NA,"3.5.2"
"153","jsonlite","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6",NA,"3.6.2"
"154","kableExtra","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.5.3"
"155","kernlab","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-26",NA,"3.4.4"
"156","KernSmooth","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.23-15","recommended","3.6.1"
"157","keyplayer","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.3",NA,"3.5.3"
"158","knitr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.26",NA,"3.6.2"
"159","ks","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.11.1",NA,"3.4.4"
"160","labeling","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3",NA,"3.6.0"
"161","Lahman","C:/Users/aubryp/Documents/R/R-3.6.1/library","6.0-0",NA,"3.4.4"
"162","later","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.0",NA,"3.5.3"
"163","lattice","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.20-38","recommended","3.6.1"
"164","latticeExtra","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6-28",NA,"3.4.4"
"165","lava","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6.5",NA,"3.5.3"
"166","lazyeval","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.2",NA,"3.6.2"
"167","lfe","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.6-2291",NA,"3.4.4"
"168","lifecycle","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.0",NA,"3.6.2"
"169","lme4","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-19",NA,"3.5.2"
"170","lmodel2","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.7-3",NA,"3.4.3"
"171","lmtest","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-36",NA,"3.4.4"
"172","loo","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0.0",NA,"3.4.4"
"173","lpSolve","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.6.13",NA,"3.5.0"
"174","lsmeans","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.27-62",NA,"3.4.4"
"175","lubridate","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.7.4",NA,"3.5.3"
"176","magrittr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5",NA,"3.4.4"
"177","mapdata","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3.0",NA,"3.5.3"
"178","maps","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.3.0",NA,"3.5.3"
"179","maptools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-5",NA,"3.5.3"
"180","markdown","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1",NA,"3.6.2"
"181","MASS","C:/Users/aubryp/Documents/R/R-3.6.1/library","7.3-51.4","recommended","3.6.1"
"182","matpow","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.1",NA,"3.5.3"
"183","Matrix","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-17","recommended","3.6.1"
"184","matrixcalc","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-3",NA,"3.4.1"
"185","MatrixModels","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-1",NA,"3.4.4"
"186","matrixStats","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.53.1",NA,"3.4.4"
"187","maxLik","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-4",NA,"3.4.4"
"188","mc2d","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-18",NA,"3.5.0"
"189","mclust","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.4",NA,"3.4.4"
"190","memoise","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.4.4"
"191","MEMSS","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-2",NA,"3.4.4"
"192","methods","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"193","mgcv","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8-28","recommended","3.6.1"
"194","mime","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8",NA,"3.6.2"
"195","miniUI","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.1.1",NA,"3.4.4"
"196","minqa","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.4",NA,"3.5.2"
