"","Package","LibPath","Version","Priority","Built"
"197","miscTools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6-22",NA,"3.4.4"
"198","mlmRev","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-6",NA,"3.4.4"
"199","mnormt","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5-5",NA,"3.5.2"
"200","modelr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.5",NA,"3.6.2"
"201","modeltools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-21",NA,"3.4.1"
"202","muhaz","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.6",NA,"3.4.4"
"203","multcomp","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4-8",NA,"3.4.4"
"204","multicool","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-10",NA,"3.4.4"
"205","munsell","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.0",NA,"3.6.2"
"206","mvtnorm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-8",NA,"3.5.0"
"207","network","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.13.0.1",NA,"3.5.1"
"208","networkDynamic","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9.0",NA,"3.5.1"
"209","nleqslv","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.3.2",NA,"3.4.4"
"210","nlme","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.1-140","recommended","3.6.1"
"211","nloptr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.1",NA,"3.5.2"
"212","NLP","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-0",NA,"3.5.1"
"213","nnet","C:/Users/aubryp/Documents/R/R-3.6.1/library","7.3-12","recommended","3.6.1"
"214","numDeriv","C:/Users/aubryp/Documents/R/R-3.6.1/library","2016.8-1",NA,"3.4.1"
"215","nycflights13","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.6.2"
"216","openssl","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.1",NA,"3.6.2"
"217","openxlsx","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.1.0.1",NA,"3.5.3"
"218","optextras","C:/Users/aubryp/Documents/R/R-3.6.1/library","2016-8.8",NA,"3.4.1"
"219","optimx","C:/Users/aubryp/Documents/R/R-3.6.1/library","2013.8.7",NA,"3.4.4"
"220","orcutt","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.2",NA,"3.4.4"
"221","packrat","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.9-2",NA,"3.4.4"
"222","parallel","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"223","partitions","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.9-19",NA,"3.4.4"
"224","pbkrtest","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-7",NA,"3.4.4"
"225","pcaPP","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.9-73",NA,"3.4.4"
"226","permute","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-4",NA,"3.4.4"
"227","pillar","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.3",NA,"3.6.2"
"228","pkgbuild","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.3",NA,"3.5.3"
"229","pkgconfig","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0.3",NA,"3.6.2"
"230","pkgload","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.2",NA,"3.5.3"
"231","PKI","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-5.1",NA,"3.4.1"
"232","PKPDmodels","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.2",NA,"3.4.4"
"233","plm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6-6",NA,"3.4.4"
"234","plogr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.0",NA,"3.6.2"
"235","plyr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8.5",NA,"3.6.2"
"236","png","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-7",NA,"3.5.2"
"237","poLCA","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.1",NA,"3.4.4"
"238","polyclip","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6-1",NA,"3.4.1"
"239","polyCub","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6.1",NA,"3.4.4"
"240","polynom","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-9",NA,"3.4.1"
"241","praise","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.0",NA,"3.4.4"
"242","prettyunits","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.2",NA,"3.6.2"
"243","processx","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.4.1",NA,"3.6.2"
"244","prodlim","C:/Users/aubryp/Documents/R/R-3.6.1/library","2018.04.18",NA,"3.5.3"
"245","progress","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.2",NA,"3.6.2"
"246","promises","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.5.3"
"247","proto","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.0",NA,"3.4.4"
"248","ps","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.0",NA,"3.6.2"
"249","psych","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8.12",NA,"3.5.2"
"250","purrr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.3",NA,"3.6.2"
"251","quadprog","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5-5",NA,"3.4.1"
"252","quantreg","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.36",NA,"3.4.4"
"253","R6","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.4.1",NA,"3.6.2"
"254","randomForest","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.6-14",NA,"3.4.4"
"255","Rcgmin","C:/Users/aubryp/Documents/R/R-3.6.1/library","2013-2.21",NA,"3.4.1"
"256","rcmdcheck","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.3",NA,"3.5.3"
"257","RColorBrewer","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-2",NA,"3.6.0"
"258","Rcpp","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.3",NA,"3.6.2"
"259","RcppArmadillo","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.400.0.0",NA,"3.4.4"
"260","RcppEigen","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.3.4.0",NA,"3.4.4"
"261","RcppParallel","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.4.0",NA,"3.4.4"
"262","RcppRoll","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.5.3"
"263","RCurl","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.95-4.12",NA,"3.5.3"
"264","readr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.1",NA,"3.6.2"
"265","readxl","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.1",NA,"3.6.2"
"266","recipes","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.5",NA,"3.5.3"
"267","reliaR","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.01",NA,"3.4.1"
"268","rem","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.8",NA,"3.4.4"
"269","rematch","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.6.2"
"270","remotes","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.0",NA,"3.5.3"
"271","reprex","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.6.2"
"272","repurrrsive","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.0",NA,"3.5.3"
"273","reshape","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.8",NA,"3.5.3"
"274","reshape2","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.3",NA,"3.6.2"
"275","rex","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.2",NA,"3.4.4"
"276","rgdal","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4-4",NA,"3.5.3"
"277","rgeos","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3-27",NA,"3.4.4"
"278","RgoogleMaps","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.3",NA,"3.5.3"
"279","rio","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.10",NA,"3.4.4"
"280","rJava","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-11",NA,"3.5.3"
"281","rjson","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.20",NA,"3.5.2"
"282","RJSONIO","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-0",NA,"3.4.1"
"283","rlang","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.2",NA,"3.6.2"
"284","rmarkdown","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0",NA,"3.6.2"
"285","robust","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-18",NA,"3.4.4"
"286","robustbase","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.93-2",NA,"3.5.1"
"287","ROCR","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-7",NA,"3.4.4"
"288","roxygen2","C:/Users/aubryp/Documents/R/R-3.6.1/library","6.1.1",NA,"3.5.3"
"289","rpart","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.1-15","recommended","3.6.1"
"290","rprojroot","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-2",NA,"3.4.4"
"291","rrcov","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4-4",NA,"3.4.4"
"292","rsconnect","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.8",NA,"3.4.4"
"293","RSiena","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-12",NA,"3.4.4"
"294","RSQLite","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.0",NA,"3.4.4"
"295","rstan","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.17.3",NA,"3.4.4"
"296","rstanarm","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.17.4",NA,"3.4.4"
"297","rstantools","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5.0",NA,"3.4.4"
"298","rstudioapi","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.10",NA,"3.6.2"
"299","RUnit","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.32",NA,"3.4.4"
"300","rvest","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.5",NA,"3.6.2"
"301","Rvmmin","C:/Users/aubryp/Documents/R/R-3.6.1/library","2018-4.17",NA,"3.4.4"
"302","sandwich","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.4-0",NA,"3.4.4"
"303","scales","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.6.2"
"304","scanstatistics","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.4.4"
"305","scatterplot3d","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3-41",NA,"3.4.4"
"306","selectr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-2",NA,"3.6.2"
"307","sessioninfo","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.1",NA,"3.5.3"
"308","setRNG","C:/Users/aubryp/Documents/R/R-3.6.1/library","2013.9-1",NA,"3.4.1"
"309","sets","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-18",NA,"3.4.4"
"310","sf","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.7-6",NA,"3.5.3"
"311","shiny","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.4.4"
"312","shinyjs","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0",NA,"3.4.4"
"313","shinystan","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.5.0",NA,"3.4.4"
"314","shinythemes","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.1",NA,"3.4.4"
"315","slackr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.2",NA,"3.4.4"
"316","slam","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-43",NA,"3.5.0"
"317","sna","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.4",NA,"3.5.3"
"318","snakecase","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.11.0",NA,"3.5.1"
"319","SnowballC","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6.0",NA,"3.5.2"
"320","sourcetools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.7",NA,"3.4.4"
"321","sp","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-1",NA,"3.5.3"
"322","SparseM","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.77",NA,"3.4.1"
"323","spatial","C:/Users/aubryp/Documents/R/R-3.6.1/library","7.3-11","recommended","3.6.1"
"324","spatstat","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.55-1",NA,"3.4.4"
"325","spatstat.data","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-0",NA,"3.4.4"
"326","spatstat.utils","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8-0",NA,"3.4.4"
"327","speedglm","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3-2",NA,"3.4.4"
"328","splancs","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.01-40",NA,"3.4.4"
"329","splines","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"330","sqldf","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-11",NA,"3.4.4"
"331","SQUAREM","C:/Users/aubryp/Documents/R/R-3.6.1/library","2017.10-1",NA,"3.5.2"
"332","StanHeaders","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.17.2",NA,"3.4.4"
"333","statnet","C:/Users/aubryp/Documents/R/R-3.6.1/library","2016.9",NA,"3.4.4"
"334","statnet.common","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.1.4",NA,"3.5.1"
"335","stats","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"336","stats4","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"337","stringi","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.7",NA,"3.5.0"
"338","stringr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.0",NA,"3.6.2"
"339","surveillance","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.16.0",NA,"3.4.4"
"340","survival","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.44-1.1","recommended","3.6.1"
"341","svUnit","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.7-12",NA,"3.4.4"
"342","sys","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.3",NA,"3.6.2"
"343","tcltk","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"344","tensor","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5",NA,"3.4.1"
"345","tergm","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.5.2",NA,"3.5.1"
"346","testthat","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.1",NA,"3.5.3"
"347","texreg","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.36.23",NA,"3.4.4"
"348","TH.data","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-8",NA,"3.4.4"
"349","threejs","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.1",NA,"3.4.4"
"350","tibble","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.3",NA,"3.6.2"
"351","tidyr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.0",NA,"3.6.2"
"352","tidyselect","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.5",NA,"3.6.2"
"353","tidyverse","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.0",NA,"3.6.2"
"354","timeDate","C:/Users/aubryp/Documents/R/R-3.6.1/library","3043.102",NA,"3.5.2"
"355","tinytex","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.18",NA,"3.6.2"
"356","tm","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.7-6",NA,"3.5.3"
"357","tnam","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6.5",NA,"3.4.4"
"358","tools","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"359","translations","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1",NA,"3.6.1"
"360","trust","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-7",NA,"3.4.1"
"361","ucminf","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-4",NA,"3.4.1"
"362","udpipe","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.3",NA,"3.5.3"
"363","units","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6-3",NA,"3.5.3"
"364","usethis","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5.1",NA,"3.6.2"
"365","utf8","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.4",NA,"3.6.2"
"366","utils","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"367","vctrs","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.1",NA,"3.6.2"
"368","vegan","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.5-2",NA,"3.4.4"
"369","viridis","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.1",NA,"3.4.4"
"370","viridisLite","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.6.2"
"371","webshot","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.1",NA,"3.5.3"
"372","whisker","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4",NA,"3.6.2"
"373","withr","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.1.2",NA,"3.6.2"
"374","wordcloud","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.6",NA,"3.5.3"
"375","wordcloud2","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.1",NA,"3.5.1"
"376","xergm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8.2",NA,"3.4.4"
"377","xergm.common","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.7.7",NA,"3.4.4"
"378","xfun","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.11",NA,"3.6.2"
"379","XLConnect","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-15",NA,"3.4.4"
"380","XLConnectJars","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-15",NA,"3.4.4"
"381","xlsx","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6.1",NA,"3.5.3"
"382","xlsxjars","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6.1",NA,"3.5.3"
"383","XML","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.98-1.20",NA,"3.5.3"
"384","xml2","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.2",NA,"3.6.2"
"385","xopen","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.0",NA,"3.5.3"
"386","xtable","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8-2",NA,"3.4.4"
"387","xts","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.10-2",NA,"3.4.4"
"388","yaml","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.2.0",NA,"3.6.0"
"389","zeallot","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.0",NA,"3.6.2"
"390","zip","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0.2",NA,"3.5.3"
"391","zoo","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8-1",NA,"3.4.4"
